stage_01	16:9	High-angle isometric view of one large empty floating sky island for a strategy building game, roughly round plateau, lush green low poly meadows with a subtle square grid pattern, a few patches of brighter green fields, one purple-grey rocky crater area with scattered rocks, chunky faceted cliff rocks and roots hanging under the island in the sky, a few tiny floating rock islets around, fluffy white low poly trees, completely empty terrain, NO buildings, NO structures
stage_02	16:9	High-angle isometric view of one large empty floating sky island for a strategy building game, two connected plateaus at slightly different heights joined by a natural rock bridge, lush green low poly meadows with a subtle square grid pattern, bright green field patches on the lower plateau, a purple-grey rocky mining area on the upper plateau, chunky faceted cliff rocks hanging under the island, small floating rock islets around, fluffy white low poly trees, completely empty terrain, NO buildings, NO structures
stage_03	16:9	High-angle isometric view of one large empty floating sky island for a strategy building game, crescent shaped island curving around an open sky bay, lush green low poly meadows with a subtle square grid pattern, bright green field patches at one tip, a purple-grey rocky area at the other tip, chunky faceted cliff rocks hanging under the island, tiny floating rock islets in the bay, fluffy white low poly trees, completely empty terrain, NO buildings, NO structures
giantWindmill	1:1	Isometric view of one grand landmark giant windmill, tall white stone lighthouse-like tower with a wooden cap and four large white sail blades and a golden weather vane on top, small white decorative low poly trees around the foot. The structure stands on a flat square base plate divided into exactly 4 by 4 grid cells with subtle grid lines, plate corners may be rounded, no part of the building extends beyond the base plate
anchor	1:1	Isometric view of one sky-ship mooring anchor point, a big dark iron anchor leaning on a round wooden platform with rope coils and a short wooden bollard. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
ore	1:1	Isometric view of one crystal ore deposit, a cluster of glowing light blue faceted crystals growing out of purple-grey low poly rocks with a few small rubble stones. It sits on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
windVane	1:1	Isometric view of one small weather vane station, a thin wooden pole with a golden arrow weather vane and small spinning wind cups, tiny stone base with a few pebbles. It stands on a flat square base plate of exactly 1 by 1 grid cell, plate corners may be rounded, nothing extends beyond the base plate
farm	1:1	Isometric view of one small farmland plot with neat rows of green low poly crops, a thin wooden fence on one edge and a tiny water bucket. It sits on a flat square base plate of exactly 1 by 1 grid cell, plate corners may be rounded, nothing extends beyond the base plate
potentialTower	1:1	Isometric view of one wooden scaffold energy tower holding a big glowing blue crystal battery core suspended inside its timber frame, wooden beams and small pulleys. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
sail	1:1	Isometric view of one tall slim wind sail tower, a single narrow wooden mast with a very small footprint at the bottom and a much wider large white canvas sail spreading at the top, bottom small top large, notably tall and elegant. It stands on a flat square base plate of exactly 1 by 1 grid cell, plate corners may be rounded, the mast base does not exceed the plate
